id,name_en,name_ar
0e031498-ebc2-49fa-92fa-ff902e8670b9,Cairo,القاهرة
68d03055-8404-4292-b234-7650a05e2b85,Giza,الجيزة
b8db1201-8bfb-462f-809c-798b2bf52c15,Alexandria,الإسكندرية
9c46ad38-28c4-4617-8e5f-37fb080fd935,Dakahlia,الدقهلية
06c92782-bd90-4b14-9f42-47c0f036bc2a,Qaliubiya,القليوبية
079c5bd3-7c9d-4a3b-a0a0-3bfeef68aaea,Sharkia,الشرقية
284fdf07-79e2-4f7c-b66c-aa4ee6b0ba2c,Gharbiya,الغربية
f39be396-9993-4315-891c-b50232cf4f0b,Menofia,المنوفية
3042500e-acdd-403f-b92f-bbe07890bc1e,Ismailia,الإسماعلية
a26a55b6-da6d-4307-b85f-27bffe1c0613,Port Said,بورسعيد
3b678af7-4d15-4d54-abec-90d75e3d63da,Damietta,دمياط
79d1b04c-b032-402e-8998-9ac689aac90c,Beheira,البحيرة
53b9e522-2a1e-4ac7-b67c-2e11dc1b9414,Kafr Al sheikh,كفر الشيخ
a027fbef-4a40-4e92-9a1f-f39598a71b59,Matrouh,مطروح
13ce5741-79a2-4275-bd7a-dabf97c5d4a3,Assiut,اسيوط
44f2ea24-a065-49a1-be21-ae0a2c581a76,Fayoum,الفيوم
2996278b-ee64-4b73-807b-3a174f369bc0,Suez,السويس
74051a48-74ed-4cbd-b004-de75b0e9c9ca,North Sinai,شمال سيناء
b327b449-1086-4f24-8198-8687626148e5,South Sinai,جنوب سيناء
760952a9-ac9d-4e50-9ce9-64896ac1dacf,Red Sea,البحر الأحمر
352705bb-8b94-45b1-8e1f-529db29a6dc1,New Valley,الوادي الجديد
c3d08e96-0d1a-4ace-a448-2ec1e913c0f8,Beni Suef,بني سويف
e45f031f-e7a0-4119-a654-d6080a9883c0,Minya,المنيا
91204aba-7e09-43eb-a90b-b73c9a529510,Sohag,سوهاج
f79d8036-7565-447b-b022-2892b14d78d0,Luxor,الأقصر
42108f76-6716-46d3-a351-73e9579427df,Qena,قنا
f41e715d-4d7c-4468-aaa1-47a00a9b9750,Aswan,اسوان